stop_id,stop_name,stop_lat,stop_lon,location_type
17074,"Poliforum Zamná",20.9398290,-89.5945520,0
16682,"Fin de ruta",20.9635335,-89.6243137,0
12805,"El Roble",20.9123845,-89.6816279,0
16710,"C-31 x 92 Fracc. Terranova Ciudad Caucel",21.0053920,-89.7050050,0
16605,"​Circuito Colonias x 75-B",20.9549490,-89.6485990,0
16736,"Monumento Jacinto Canek",20.9938360,-89.6707550,0
16069,"C-14 x 25-B Nueva Chichén Itzá",20.9591030,-89.5707237,0
16085,"C-20 x 25 Polígono Itzimná 108",20.9943555,-89.5716246,0
16012,"Av. Mérida 2000 x 21",21.0086336,-89.6555941,0
16885,"C-96 x 89 Fracc. Ciudad Caucel II",20.9897160,-89.7125960,0
16803,"Bodegas Aurrera Expres Av. 114",21.0066421,-89.7247683,0
17173,"Av. Andres Garcia Lavin x 51",21.0215010,-89.6059850,0
16157,"JAPAY Cárcamo Mulsay",20.9576302,-89.6633242,0
15908,"Plaza Carey",21.0062947,-89.5824557,0
17040,"Parque El Pez Volador",20.9726560,-89.5805890,0
15961,"Polígono 108",20.9894621,-89.5713457,0
16019,"Av. Mérida 2000 x 69-A",20.9765700,-89.6639945,0
15977,"Plaza Las Américas C-15",20.9932530,-89.6491840,0
16488,"Super Aki Palmas",21.0381000,-89.6437300,0
16239,"Glorieta Pilares",21.0735800,-89.6667500,0
15913,"CONAGUA",20.9467090,-89.6527885,0
16004,"Av. Fuerza Aérea x 81-D",20.9444644,-89.6489371,0
17077,"Glorieta SEDENA",20.9383280,-89.6116060,0
15967,"Deportivo Bancarios",21.0091190,-89.5863554,0
17119,"Inicio de ruta",20.9834443,-89.6198344,0
16396,"C-13-1 x 76 Fracc. Residencial Pensiones",21.0002200,-89.6631100,0
16127,"Glorieta La Mestiza",21.0308111,-89.6465016,0
15930,"C-34 x 17 Los Reyes",20.9782240,-89.5720860,0
15922,"Deportivo CROC",20.9473740,-89.5882590,0
16280,"C-62 x 51 Col. Centro",20.9733900,-89.6232600,0
16920,"Congreso",20.9731303,-89.6901730,0
17172,"C-14 x Anillo Periferico Comisaria Santa Gertudris",21.0371120,-89.5947840,0
16334,"C-66 x 45 Col. Centro",20.9780800,-89.6255100,0
17089,"Av. Quetzalcoatl x 12",20.9596340,-89.5878120,0
15905,"Parque La Mariposa",20.9393440,-89.6435300,0
17219,"Santa Gertrudis Copó",21.0376433,-89.5963705,0
17211,"Parque Col. México",20.9979287,-89.6102053,0
17091,"Av. Quetzalcoatl x 12",20.9599060,-89.5849930,0
16681,"Inicio de ruta",20.9635285,-89.6242493,0
17132,"C. Colonias Oriente",20.9809493,-89.5854330,0
16640,"Av. Alemán x 27",20.9878040,-89.6102420,0
15193,"Andrés García Lavín",21.0392405,-89.6030279,0
15921,"Complejo Deportivo Kukulcán",20.9439840,-89.5926190,0
16993,"Galletera DONDÉ",20.9144460,-89.7091870,0
16587,"​Av. Yucatán x Periférico",21.0209020,-89.5672170,0
16723,"C-65 x 86 Col. Centro",20.9665160,-89.6406250,0
15940,"Parque Dolores Otero",20.9403857,-89.6253816,0
16014,"Av. Mérida 2000 x 43-B",20.9998005,-89.6645254,0
16808,"C-31 x 104 Fracc. Ciudad Caucel",21.0078300,-89.7134710,0
16221,"Guarderia Participativa Mérida",20.9773700,-89.6239400,0
16705,"C-117 Diag. x 88 Fracc.Sian Ka-An",20.9900240,-89.7068520,0
16714,"Plaza Gran Santa Fe",21.0051330,-89.6883000,0
16106,"Glorieta Kalia",21.0204019,-89.5986722,0
15935,"Av. Yucatán x 13",21.0013119,-89.5910333,0
17218,"Parque de la Mejorada",20.9691990,-89.6159881,0
16286,"Plaza Akrópolis",21.0616900,-89.6456300,0
